No.,Paper no.,Feature name,Feature definition,Category,Data source,Frequency,Formula,Comments,,,,,,,,,,,,,,,,,
555,7,PCEPI,Personal Cons. Expend.: Chain Index   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
556,7,DDURRG3M086SBEA,Personal Cons. Exp: Durable goods   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
557,7,DNDGRG3M086SBEA,Personal Cons. Exp: Nondurable goods   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
558,7,DSERRG3M086SBEA,Personal Cons. Exp: Services    ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
559,7,CES0600000008,Avg Hourly Earnings : Goods-Producing   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
560,7,CES2000000008,Avg Hourly Earnings : Construction   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
561,7,CES3000000008,Avg Hourly Earnings : Manufacturing   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
562,7,MZMSL,MZM Money Stock     ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
563,7,DTCOLNVHFNM,Consumer Motor Vehicle Loans Outstanding   ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
564,7,DTCTHFNM,Total Consumer Loans and Leases Outstanding  ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
565,7,INVEST,Securities in Bank Credit at All Commercial Banks,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,5,,,,,,,,,,,,,,,,,
566,7,VXOCLSx,CBOE S&P 100 Volatility Index: VXO  ,Macro time series,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
567,7,A2ME,Cross sectional Median of A2ME,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
568,7,AC,Cross sectional Median of AC,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
569,7,AT,Cross sectional Median of AT,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
570,7,ATO,Cross sectional Median of ATO,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
571,7,BEME,Cross sectional Median of BEME,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
572,7,Beta,Cross sectional Median of Beta,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
573,7,C,Cross sectional Median of C,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
574,7,CF,Cross sectional Median of CF,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
575,7,CF2P,Cross sectional Median of CF2P,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
576,7,CTO,Cross sectional Median of CTO,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
577,7,D2A,Cross sectional Median of D2A,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
578,7,D2P,Cross sectional Median of D2P,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
579,7,DPI2A,Cross sectional Median of DPI2A,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
580,7,E2P,Cross sectional Median of E2P,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
581,7,FC2Y,Cross sectional Median of FC2Y,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
582,7,IdioVol,Cross sectional Median of IdioVol,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
583,7,Investment,Cross sectional Median of Investment,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
584,7,Lev,Cross sectional Median of Lev,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
585,7,LME,Cross sectional Median of LME,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
586,7,LT_Rev,Cross sectional Median of LT_Rev,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
587,7,LTurnover,Cross sectional Median of LTurnover,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
588,7,MktBeta,Cross sectional Median of MktBeta,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
589,7,NI,Cross sectional Median of NI,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
590,7,NOA,Cross sectional Median of NOA,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
591,7,OA,Cross sectional Median of OA,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
592,7,OL,Cross sectional Median of OL,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
593,7,OP,Cross sectional Median of OP,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
594,7,PCM,Cross sectional Median of PCM,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
595,7,PM,Cross sectional Median of PM,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
596,7,PROF,Cross sectional Median of PROF,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
597,7,Q,Cross sectional Median of Q,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
598,7,r2_1,Cross sectional Median of r2_1,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
599,7,r12_2,Cross sectional Median of r12_2,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
600,7,r12_7,Cross sectional Median of r12_7,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
601,7,r36_13,Cross sectional Median of r36_13,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
602,7,Rel2High,Cross sectional Median of Rel2High,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
603,7,Resid,Cross sectional Median of Resid_Var,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
604,7,RNA,Cross sectional Median of RNA,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
605,7,ROA,Cross sectional Median of ROA,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
606,7,ROE,Cross sectional Median of ROE,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
607,7,S2P,Cross sectional Median of S2P,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
608,7,SGA2S,Cross sectional Median of SGA2S,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
609,7,Spread,Cross sectional Median of Spread,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
610,7,ST_REV,Cross sectional Median of ST_REV,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
611,7,SUV,Cross sectional Median of SUV,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
612,7,Variance,Cross sectional Median of Variance,Firm-specific,WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
613,7,dp,Dividend-price ratio   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,DP: log of a 12-month moving sum of dividends paid on the S&P 500 Index minus the log of stock prices (S&P 500 Index),2,,,,,,,,,,,,,,,,,
614,7,ep,Earnings-price ratio   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,EP: log of a 12-month moving sum of earnings on the S&P 500 Index minus the log of stock prices,2,,,,,,,,,,,,,,,,,
615,7,bm,Book-to-market ratio   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,BM: book-to-market value ratio for the Dow Jones Industrial Average,2,,,,,,,,,,,,,,,,,
616,7,ntis,Net equity expansion  ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,NTIS: ratio of a 12-month moving sum of net equity issues by NYSE-listed stocks to the total end-of-year market capitalization of New York Stock Exchange (NYSE) stocks,2,,,,,,,,,,,,,,,,,
617,7,tbl,Treasury-bill rate   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,TBL: interest rate on a three­ month Treasury bill (secondary market),2,,,,,,,,,,,,,,,,,
618,7,tms,Term spread   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,TMS: Long-term yield minus the Treasury bill rate,2,,,,,,,,,,,,,,,,,
619,7,dfy,Default spread   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,DFY: difference between Moody's BAA- and AAA-rated corporate bond yields,2,,,,,,,,,,,,,,,,,
620,7,svar,Stock variance   ,Macroeconomic,WRDS,Annual/Quarterly/Monthly,svar: sum of squared daily returns on the S&P 500,2,,,,,,,,,,,,,,,,,
621,8,absacc,absolute accruals,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
622,8,acc,working capital accruals,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
623,8,aeavol,Abnormal earnings announcement volume,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
624,8,age,# years since first Compustat coverage,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
625,8,dy,Dividend to price,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
626,8,ear,Earnings announcement return,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
627,8,agr,Asset growth,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
628,8,baspread,Bid-ask spread,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
629,8,beta,Beta,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
630,8,betasq,Beta squared,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
631,8,bm,Book-to-market,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
632,8,bm_ia,Industry-adjusted book to market assets,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
633,8,cash,Cash holdings,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
634,8,cashdebt,Cash flow to debt,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
635,8,cashpr,Cash productivity,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
636,8,cfp,Cash-flow-to-price ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
637,8,cfp_ia,Industry-adjusted cash-flow-to-price ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
638,8,chatoia,Industry-adjusted change in asset turnover,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
639,8,indmom,Industry momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
640,8,invest,Capital expenditures and inventory,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
641,8,chcsho,Change in shares outstanding,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
642,8,chempia,Industry-adjusted change in employees,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
643,8,lev,Leverage,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
644,8,chfeps,Change in forecasted EPS,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
645,8,chpmia,Industry-adjusted change in profit margin,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
646,8,mom36m,36-month momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
647,8,chtx,Change in tax expense,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
648,8,currat,Current ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
649,8,depr,Depreciation / PP&E,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
650,8,disp,Dispersion in forecasted EPS,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
651,8,pchcapx_ia,Industry adjusted % change in capital expenditure,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
652,8,roic,Return on invested capital,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
653,8,pchcurrat,% change in current ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
654,8,pchdepr,% change in depreciation,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
655,8,pchgm_pchsale,% change in gross margin - % change in sales,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
656,8,saleinv,Sales to inventory,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
657,8,pchquick,% change in quick ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
658,8,pchsale_pchinvt,% change in sales - % change in inventory,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
659,8,pchsale_pchrect,% change in sales - % change in A/R,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
660,8,pchsale_pchxsga,% change in sales - % change in SG&A,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
661,8,secured,Secured debt securedind,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
662,8,pchsaleinv,% change sales-to-inventory,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
663,8,pctacc,Percent accruals,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
664,8,pricedelay,Price delay,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
665,8,ps,Financial statements score,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
666,8,divo,Dividend omission,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
667,8,dolvol,Dollar trading volume,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
668,8,egr,Growth in common shareholder equity,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
669,8,ep,Earnings to price,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
670,8,fgr5yr,Forecasted growth in 5-year EPS,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
671,8,gma,Gross profitability,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
672,8,grCAPX,Growth in capital expenditures,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
673,8,grltnoa,Growth in long-term net operating,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
674,8,herf,Industry sales concentration,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
675,8,hire,Employee growth rate,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
676,8,idiovol,Idiosyncratic return volatility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
677,8,ill,Illiquidity,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
678,8,IPO,New equity issue,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
679,8,indmom,industry momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
680,8,invest,capital expenditures and inventory,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
681,8,lev ,leverage,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
682,8,lgr,growth in long-term debt,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
683,8,maxret,maximum daily return,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
684,8,mom12m,12-month momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
685,8,mom1m,1-month momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
686,8,mom36m,36-month momentum,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
687,8,mom6m,6-month momentum cinvest,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
688,8,mve_ia,Industry-adjusted size,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
689,8,nanalyst,Number of analysts covering stock,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
690,8,nincr,Number of earnings increases divi,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
691,8,ms,financial statement score,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
692,8,mve_ia,size,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
693,8,operprof,operating profitability,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
694,8,roeq,return on equity,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
695,8,Secured debt indicator sfe,Scaled earnings forecast,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
696,8,rsup,Revenue surprise,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
697,8,salecash,Sales to cash,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
698,8,salerec,Sales to receivables,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
699,8,sgr,Sales growth,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
700,8,sin,Sin stocks,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
701,8,SP,Sales to price,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
702,8,std_dolvol,Volatility of liquidity (dollar trading volume),Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
703,8,quick,Quick ratio,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
704,8,rd,R&D increase,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
705,8,rd_mve,R&D to market capitalization,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
706,8,rd_sale,R&D to sales,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
707,8,realestate,Real estate holdings,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
708,8,retvol,Return volatility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
709,8,roaq,Return on assets,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
710,8,roavol,Earnings volatility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
711,8,std_turn,Volatility of liquidity (share turnover),Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
712,8,stdacc,Accrual volatility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
713,8,stdcf,Cash flow volatility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
714,8,sue,Unexpected quarterly earnings,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
715,8,tang,Debt capacity/firm tangibility,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
716,8,tb,Tax income to book income,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
717,8,turn,Share turnover,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
718,8,zerotrade,Zero trading days,Firm-specific characteristics,CRSP/Compustat,Monthly,refer to table 1,1,,,,,,,,,,,,,,,,,
719,9,Date_SPY,trading dates considered,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
720,9,Close_SPY,closing prices of SPY on the trading days,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,N/A,,,,,,,,,,,,,,,,,,
721,9,SPYt,The return of the SPDR S&P 500 ETF (SPY) in day t.,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,(p(t) -p(t-1))/p(t-1),,,,,,,,,,,,,,,,,,
722,9,SPYt1,The return of the SPY in day t-1.,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,(p(t-1) - p(t-2))/p(t-2),,,,,,,,,,,,,,,,,,
723,9,SPYt2,The return of the SPY in day t-2.,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,(p(t-2) - p(t-3))/p(t-3),,,,,,,,,,,,,,,,,,
724,9,SPYt3,The return of the SPY in day t-3.,SPY return in current and three previous days,yahoo finance/WRDS,Monthly,(p(t-3) - p(t-4))/p(t-4),,,,,,,,,,,,,,,,,,
725,9,RDP5,The 5-day relative difference in percentage of the SPY.,Relative difference in percentage of the SPY return,yahoo finance/WRDS,Monthly,(p(t) -p(t-5))/p(t-5) ? 100,,,,,,,,,,,,,,,,,,
726,9,RDP10,The 10-day relative difference in percentage of the SPY.,Relative difference in percentage of the SPY return,yahoo finance/WRDS,Monthly,(p(t) -p(t-10))/p(t-10) ? 100,,,,,,,,,,,,,,,,,,
727,9,RDP15,The 15-day relative difference in percentage of the SPY.,Relative difference in percentage of the SPY return,yahoo finance/WRDS,Monthly,(p(t) - p(t-15))/p(t-15) ? 100,,,,,,,,,,,,,,,,,,
728,9,RDP20,The 20-day relative difference in percentage of the SPY.,Relative difference in percentage of the SPY return,yahoo finance/WRDS,Monthly,(p(t) - p(t-20))/p(t-20) ? 100,,,,,,,,,,,,,,,,,,
729,9,EMA10,The 10-day exponential moving average of the SPY.,Exponential moving averages of the SPY return,yahoo finance/WRDS,Monthly,p(t) ?(2/(10 + 1)) + EMA10 (t-1) ?(1-2/(10 + 1)),,,,,,,,,,,,,,,,,,
730,9,EMA20,The 20-day exponential moving average of the SPY.,Exponential moving averages of the SPY return,yahoo finance/WRDS,Monthly,p(t) ?(2/(20 + 1)) + EMA20 (t-1) ?(1-2/(20 + 1)),,,,,,,,,,,,,,,,,,
731,9,EMA50,The 50-day exponential moving average of the SPY.,Exponential moving averages of the SPY return,yahoo finance/WRDS,Monthly,p(t) ?(2/(50 + 1)) + EMA50 (t-1) ?(1-2/(50 + 1)),,,,,,,,,,,,,,,,,,
732,9,EMA200,The 200-day exponential moving average of the SPY.,Exponential moving averages of the SPY return,yahoo finance/WRDS,Monthly,p(t) ?(2/(200 + 1)) + EMA200 (t-1) ?(1-2/(200 + 1)),,,,,,,,,,,,,,,,,,
733,9,T1,"1-month T-bill rate (in percentage), secondary market, business days, discount basis.",T-bill rates (day t),H. 15 Release - Federal Reserve Board of Governors (https://research.stlouisfed.org/fred2/series/DGS5/downloaddata ),Monthly,N/A,,,,,,,,,,,,,,,,,,
734,9,T3,"3-month T-bill rate, secondary market, business days, discount basis.",T-bill rates (day t),H. 15 Release - Federal Reserve Board of Governors (https://research.stlouisfed.org/fred2/series/DGS5/downloaddata ),Monthly,N/A,,,,,,,,,,,,,,,,,,
735,9,T6,"6-month T-bill rate, secondary market, business days, discount basis.",T-bill rates (day t),H. 15 Release - Federal Reserve Board of Governors (https://research.stlouisfed.org/fred2/series/DGS5/downloaddata ),Monthly,N/A,,,,,,,,,,,,,,,,,,
736,9,T60,"5-year T-bill constant maturity rate, secondary market, business days.",T-bill rates (day t),H. 15 Release - Federal Reserve Board of Governors ( https://research.stlouisfed.org/fred2/series/DGS5/downloaddata ),Monthly,N/A,,,,,,,,,,,,,,,,,,
737,9,T120,"10-year T-bill constant maturity rate, secondary market, business days.",T-bill rates (day t),"H. 15 Release - Federal Reserve Board of Governors (https://research.stlouisfed.org/fred2/series/DGS10?catbc=1&utm _ expid=19978471-Srcl7QpGidAURO4vg _ Q.1&utm _ referrer=https%3A%2F%2Fresearch.stlouisfed.org%
2Ffred2%2Frelease%3Frid%3D18 )",Monthly,N/A,,,,,,,,,,,,,,,,,,
738,9,CD1,"Average rate on 1-month neogtiable certificates of deposit (secondary market), quoted on an investment basis.",Certificate of deposit rates (day t),H. 15 Release - Federal Reserve Board of Governors,Monthly,N/A,,,,,,,,,,,,,,,,,,
739,9,CD3,"Average rate on 3-month neogtiable certificates of deposit (secondary market), quoted on an investment basis.",Certificate of deposit rates (day t),H. 15 Release - Federal Reserve Board of Governors,Monthly,N/A,,,,,,,,,,,,,,,,,,
